1.00000000	   123989.80410000	    0.14200000	                0.01760655	                0.14200000	3.07541485	   0.68000000	    1.00000000	                1.00000000	                1.00000000	1.00000000	               1.00000000	        1.00000000	        -0.00000000	        -0.00000000	-0.00000000	       -0.00000000	        -0.00000000	       0.01405003	    0.00036974	0.00040671	       0.00040671	        0.00162685	       0.00162685	    7279.39836064	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.78539816	       200605.14958635
2.00000000	   123989.80410000	    0.14200000	                0.01760655	                0.14200000	3.07541485	   0.68000000	    1.00000000	                1.00000000	                1.00000000	1.00000000	               1.00000000	        1.00000000	        0.00000000	        0.00000000	0.00000000	       0.00000000	        -0.00000000	       0.01405003	    0.00036974	0.00040671	       0.00040671	        0.00162685	       0.00162685	    7279.39836064	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.78539816	       200605.14958635
3.00000000	   185984.70615000	    0.14660214	                0.01764002	                0.14211225	3.38295634	   0.68511131	    1.43369729	                1.91917068	                1.70148214	1.70148214	               1.42837013	        0.99962417	        0.44121393	        0.92668732	0.70899877	       0.70899877	        0.43588677	       0.01419905	    0.00036974	0.00043700	       0.00047091	        0.00182281	       0.00182281	    7520.18318670	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80134312	       200605.14958635
4.00000000	   185984.70615000	    0.14705676	                0.01712870	                0.14234235	3.38295634	   0.81080445	    1.10705198	                1.34215487	                1.23356278	1.23356278	               1.43743215	        0.99038203	        0.29941147	        0.53451436	0.42592227	       0.42592227	        0.62979164	       0.01394095	    0.00036974	0.00045701	       0.00038607	        0.00173592	       0.00173592	    9484.99639959	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80289039	       200605.14958635
5.00000000	   185984.70615000	    0.14716347	                0.01732667	                0.14257493	3.38295634	   0.84008369	    0.95958459	                1.15643038	                1.06524584	1.06524584	               1.41469413	        0.98822914	        0.19500179	        0.39184757	0.30066303	       0.30066303	        0.65011132	       0.01415951	    0.00036974	0.00044473	       0.00040333	        0.00173862	       0.00173862	    10103.48337745	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80325283	       200605.14958635
6.00000000	   185984.70615000	    0.14723592	                0.01746587	                0.14280053	3.38295634	   0.85991527	    0.86141397	                1.04798002	                0.96162194	0.96162194	               1.39083691	        0.98677094	        0.12599525	        0.31256129	0.22620322	       0.22620322	        0.65541818	       0.01440922	    0.00036974	0.00042191	       0.00041179	        0.00170136	       0.00170136	    10593.96777913	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80349878	       200605.14958635
7.00000000	   185984.70615000	    0.14730492	                0.01751811	                0.14301857	3.38295634	   0.87876570	    0.78587671	                0.96782650	                0.88370626	0.88370626	               1.36835297	        0.98538488	        0.07817921	        0.26012900	0.17600876	       0.17600876	        0.66065546	       0.01463704	    0.00036974	0.00039566	       0.00040820	        0.00163528	       0.00163528	    11058.06896296	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80373290	       200605.14958635
8.00000000	   185984.70615000	    0.14737131	                0.01751699	                0.14322928	3.38295634	   0.89686785	    0.72442162	                0.90428977	                0.82124081	0.82124081	               1.34707447	        0.98405383	        0.04334492	        0.22321307	0.14016411	       0.14016411	        0.66599778	       0.01483967	    0.00036974	0.00036908	       0.00039757	        0.00155626	       0.00155626	    11495.20226276	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80395803	       200605.14958635
9.00000000	   185984.70615000	    0.14743436	                0.01748690	                0.14343287	3.38295634	   0.91403029	    0.67285641	                0.85225967	                0.76953852	0.76953852	               1.32679058	        0.98279189	        0.01701860	        0.19642185	0.11370070	       0.11370070	        0.67095276	       0.01501893	    0.00036974	0.00034366	       0.00038352	        0.00147404	       0.00147404	    11901.75728751	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80417175	       200605.14958635
10.00000000	   185984.70615000	    0.14749401	                0.01744182	                0.14362952	3.38295634	   0.93023914	    0.62860033	                0.80868432	                0.72576593	0.72576593	               1.30738154	        0.98160006	        -0.00340093	        0.17668306	0.09376467	       0.09376467	        0.67538028	       0.01517670	    0.00036974	0.00032005	       0.00036819	        0.00139390	       0.00139390	    12277.54138775	0.00013968	       0.00013968	        0.00055871	       0.00055871	       0.00069576	0.80437385	       200605.14958635
