0.10000000	   6666.11850000	    1.01889491	                0.19999651	                0.00740902
0.20000000	   6666.11850000	    1.01889491	                0.19999011	                0.00741304
0.30000000	   6666.11850000	    1.01889491	                0.19998423	                0.00741667
0.40000000	   6666.11850000	    1.01889491	                0.19997890	                0.00741992
0.50000000	   6666.11850000	    1.01889491	                0.19997405	                0.00742284
0.60000000	   6666.11850000	    1.01889491	                0.19996963	                0.00742546
0.70000000	   6666.11850000	    1.01889491	                0.19996560	                0.00742781
0.80000000	   6666.11850000	    1.01889491	                0.19996194	                0.00742992
0.90000000	   6666.11850000	    1.01889491	                0.19995861	                0.00743179
1.00000000	   6666.11850000	    1.01889491	                0.19995558	                0.00743347
1.10000000	   6666.11850000	    1.01889491	                0.19995284	                0.00743497
1.20000000	   6666.11850000	    1.01889491	                0.19995034	                0.00743629
1.30000000	   6666.11850000	    1.01889491	                0.19994808	                0.00743748
1.40000000	   6666.11850000	    1.01889491	                0.19994604	                0.00743852
1.50000000	   6666.11850000	    1.01889491	                0.19994419	                0.00743945
1.60000000	   6666.11850000	    1.01889491	                0.19994251	                0.00744027
1.70000000	   6666.11850000	    1.01889491	                0.19994100	                0.00744099
1.80000000	   6666.11850000	    1.01889491	                0.19993963	                0.00744162
1.90000000	   6666.11850000	    1.01889491	                0.19993840	                0.00744218
2.00000000	   6666.11850000	    1.01889491	                0.19993729	                0.00744266
2.10000000	   126656.25150000	    4.07557966	                -0.00000000	                -22495108124788609406160034229909676110493564672918075483807269304273337957944679636588956763753741574941686164615039908951477683486720.00000000
2.20000000	   126656.25150000	    4.07557966	                -0.00011381	                -186749144725972492147854651545062464406583447972245918374560496745681207642932838516651781955376697582162314938355529373658764647010945330331638781713303207936.00000000
2.30000000	   126656.25150000	    4.07557966	                -0.00000016	                -2666589919912369999289300152486395527770516261996113105153780513256957305559427349385714227641521817776074305300648719260493687281420317508072188223850433281537516024889344.00000000
2.40000000	   126656.25150000	    4.07557966	                       NaN	                       NaN
